Sample,alpha,gamma,beta,delta,Transport_Time,Total_Cost,Time_Change,Cost_Change
0,0.0004534004482708729,0.8267358307493956,0.01592652272445147,0.8838994744430421,508.9897253505255,76824987646315.03,14.961864534925585,15.389299109579808
1,0.0005309260394177006,0.9992247979450206,0.01428724964179785,0.8676506127738396,421.15916698389407,70104446644590.94,-4.875794753811434,5.295206815074467
2,0.00044971735426927047,0.8071312282003091,0.015370129421823898,0.9708922023173137,521.3507769057845,74745218151093.53,17.753766735753487,12.265534931863021
3,0.0005406496031958569,0.9675307009572585,0.014262750414659325,0.717613041121158,434.95961143432004,78584714345951.8,-1.758787186833445,18.03236664159574
4,0.0004154483617700523,0.944495742879773,0.015538483162531445,0.9844981936886991,445.51187204971933,68010161665097.734,0.6245763566434576,2.149640726187074
5,0.00046298893637715236,0.952717635013164,0.015643634302949593,0.7632125389578774,441.68813998065684,76669234122168.47,-0.23906262514283472,15.155361031153303
6,0.0005731603127181703,0.8751885959121315,0.014432341665955422,0.8365949876913733,480.8683171300611,76376149540236.73,8.610283429538871,14.715154979385078
7,0.00048162330219978314,0.9394479183777403,0.015682521409820644,0.7195073315697234,447.9353427681229,79615430607731.4,1.1719483340278762,19.580477883411216
8,0.0005706649041621823,0.9518814737410698,0.015040332231561045,0.8285583258577828,442.12376026204606,73529646852141.19,-0.1406721915378238,10.439775833149255
9,0.0005240883737683129,0.9611589652321005,0.014142524342117104,0.9443039917664058,437.83580004219857,68639553678008.53,-1.1091630615367738,3.094972518094339
10,0.0004186509897761849,0.9938018202553892,0.014727717839681027,0.953594827693318,423.40978468370724,67148455864337.79,-4.367463849984946,0.8553791657933362
11,0.0005686941188448071,0.8325681340815312,0.01576457423155808,0.9508526684129949,505.48245770017775,74094585570623.69,14.16970310528311,11.28830031408598
12,0.0004269365255266731,0.8520679841646088,0.01422639598504653,0.9335121367094519,493.84428293815324,73677028565800.52,11.541071909428913,10.661139651898068
13,0.0005504713195920453,0.8240252711332635,0.014560156536169521,0.8972251847413637,510.71360078118636,76404886352025.25,15.351223934269534,14.758316985296311
14,0.00048389102290811813,0.988639616287596,0.014539606417667073,0.7779928455409878,425.64840933384994,74531884673882.34,-3.861841730408728,11.945113137259725
15,0.0005333927893043862,0.9733593210569186,0.015794889361616073,0.9951502669781576,432.3518695215177,66587948506173.66,-2.347779179383341,0.013510482363437139
16,0.0005905744905418768,0.8392143310832743,0.015187798062340113,0.8827517548668409,501.490244858009,76214432091861.08,13.26801057771799,14.472259229010664
17,0.0005990951001354181,0.9041594631579601,0.015733525920240937,0.8708922204174387,465.4725251981449,73708066311971.28,5.132946150744194,10.70775760637238
