max_c,max_s,time,cost,history
1,0,558.659217877095,62500000000000.0,"['P1:SE1+R0', 'P2:SE1+R0', 'P3:SE1+R0']"
1,1,556.5388302043899,62690285961871.75,"['P1:SE1+R1', 'P2:SE1+R0', 'P3:SE1+R0']"
1,5,554.4490881897211,62907966276668.96,"['P1:SE1+R5', 'P2:SE1+R0', 'P3:SE1+R0']"
1,10,553.8575550546819,63008261381475.67,"['P1:SE1+R10', 'P2:SE1+R0', 'P3:SE1+R0']"
1,1,518.3718520956982,65935433275563.26,"['P1:SE1+R0', 'P2:SE1+R1', 'P3:SE1+R0']"
1,1,516.2514644229932,66115719237435.01,"['P1:SE1+R1', 'P2:SE1+R1', 'P3:SE1+R0']"
1,5,514.1617224083244,66333399552232.22,"['P1:SE1+R5', 'P2:SE1+R1', 'P3:SE1+R0']"
1,10,513.5701892732852,66433694657038.92,"['P1:SE1+R10', 'P2:SE1+R1', 'P3:SE1+R0']"
1,5,478.666753816992,69351359256710.25,"['P1:SE1+R0', 'P2:SE1+R5', 'P3:SE1+R0']"
1,5,476.5463661442869,69531645218582.0,"['P1:SE1+R1', 'P2:SE1+R5', 'P3:SE1+R0']"
1,5,474.45662412961815,69709325533379.22,"['P1:SE1+R5', 'P2:SE1+R5', 'P3:SE1+R0']"
1,10,473.86509099457896,69809620638185.92,"['P1:SE1+R10', 'P2:SE1+R5', 'P3:SE1+R0']"
1,10,467.42762425124755,70356966248037.67,"['P1:SE1+R0', 'P2:SE1+R10', 'P3:SE1+R0']"
1,10,465.3072365785425,70537252209909.42,"['P1:SE1+R1', 'P2:SE1+R10', 'P3:SE1+R0']"
1,10,463.2174945638737,70714932524706.64,"['P1:SE1+R5', 'P2:SE1+R10', 'P3:SE1+R0']"
1,10,462.6259614288345,70765227629513.34,"['P1:SE1+R10', 'P2:SE1+R10', 'P3:SE1+R0']"
2,0,279.3296089385475,72500000000000.0,"['P1:SE2+R0', 'P2:SE2+R0', 'P3:SE2+R0']"
2,1,278.6753502823171,72621256684491.98,"['P1:SE2+R1', 'P2:SE2+R0', 'P3:SE2+R0']"
2,5,277.64067507997373,72837203202650.47,"['P1:SE2+R5', 'P2:SE2+R0', 'P3:SE2+R0']"
2,10,277.22454409486056,72957966276668.97,"['P1:SE2+R10', 'P2:SE2+R0', 'P3:SE2+R0']"
2,1,266.89869447016997,74623877005347.6,"['P1:SE2+R0', 'P2:SE2+R1', 'P3:SE2+R0']"
2,1,266.2444358139396,74735133689839.58,"['P1:SE2+R1', 'P2:SE2+R1', 'P3:SE2+R0']"
2,5,265.2097606115962,74951080207998.06,"['P1:SE2+R5', 'P2:SE2+R1', 'P3:SE2+R0']"
2,10,264.79362962648304,75071843282016.56,"['P1:SE2+R10', 'P2:SE2+R1', 'P3:SE2+R0']"
2,5,247.23986562564588,78006860850358.9,"['P1:SE2+R0', 'P2:SE2+R5', 'P3:SE2+R0']"
2,5,246.5856069694155,78118117534850.89,"['P1:SE2+R1', 'P2:SE2+R5', 'P3:SE2+R0']"
2,5,245.55093176707211,78294064053009.38,"['P1:SE2+R5', 'P2:SE2+R5', 'P3:SE2+R0']"
2,10,245.13480078195894,78414827127027.88,"['P1:SE2+R10', 'P2:SE2+R5', 'P3:SE2+R0']"
2,10,239.333376908496,79401359256710.25,"['P1:SE2+R0', 'P2:SE2+R10', 'P3:SE2+R0']"
2,10,238.6791182522656,79512615941202.23,"['P1:SE2+R1', 'P2:SE2+R10', 'P3:SE2+R0']"
2,10,237.64444304992222,79688562459360.72,"['P1:SE2+R5', 'P2:SE2+R10', 'P3:SE2+R0']"
2,10,237.22831206480907,79759325533379.22,"['P1:SE2+R10', 'P2:SE2+R10', 'P3:SE2+R0']"
2,1,229.7822125295014,81410534759358.28,"['P1:SE1+R0', 'P2:SE2+R0', 'P3:SE2+R1']"
2,1,226.98891644011593,81410534759358.28,"['P1:SE2+R0', 'P2:SE2+R0', 'P3:SE2+R1']"
2,1,226.33465778388552,81521791443850.27,"['P1:SE2+R1', 'P2:SE2+R0', 'P3:SE2+R1']"
2,5,225.29998258154217,81737737962008.75,"['P1:SE2+R5', 'P2:SE2+R0', 'P3:SE2+R1']"
2,10,224.883851596429,81858501036027.25,"['P1:SE2+R10', 'P2:SE2+R0', 'P3:SE2+R1']"
