Time,Cost,Emissions,Alpha
25.3701,35609263946667.734,96999290293.765,0.3402
25.8218,35498186356319.96,96052871686.344,0.3467
28.1684,34960738120378.203,91421390031.0568,0.3782
29.6725,34616236043324.47,88452677671.8588,0.3984
30.06,34527500306583.016,87687998217.5526,0.4036
31.1047,34288215885885.082,85625971179.2399,0.4176
33.1039,33830341270123.0,81680177304.6019,0.4444
33.9785,33630021446115.09,79953912890.2301,0.4562
35.0115,33393427218509.656,77915029855.1541,0.47
36.1833,33125041815369.953,75602197142.4052,0.4858
37.1421,32905444775443.5,73709837238.0864,0.4986
38.2677,32647636649228.953,71488149458.5532,0.5137
41.6985,31861882586657.973,64716962591.2222,0.5598
42.8595,31595969650006.066,62425483444.9433,0.5754
43.4558,31459381695761.695,61248339057.822,0.5834
44.9794,31110427931957.723,58241300455.213,0.6038
45.6779,30950456813845.816,56862759633.8316,0.6132
46.8102,30691123171458.727,54627940446.847,0.6284
48.5029,30303430703999.45,51286980229.3168,0.6512
50.2863,29894961538616.742,47766954336.1839,0.6751
50.342,29882208093890.203,47657027594.0615,0.6758
51.3243,29657223691155.6,45718336479.1335,0.689
52.5087,29385961311005.28,43380613571.439,0.7049
53.5962,29136878788073.223,41234182653.6103,0.7195
54.8782,28843271515317.605,38703998367.6475,0.7367
55.0525,28803342843276.34,38359907534.4738,0.7391
56.9711,28363922736849.54,34573198516.1241,0.7648
59.0775,27881487411590.727,30415915919.3821,0.7931
59.9378,27684424536260.8,28717631619.2072,0.8047
60.6487,27521616231924.31,27314594389.014,0.8142
62.1973,27166943201513.4,24258284952.7209,0.835
62.9511,26994286885786.99,22770387396.8473,0.8451
63.1621,26945966984712.957,22353994623.8062,0.848
64.1051,26729981682712.938,20492696179.4885,0.8606
64.9544,26535460985089.863,18816491893.914,0.872
66.0323,26288578796046.824,16688992438.3284,0.8865
67.1303,26037111014906.566,14521895382.4866,0.9012
67.4721,25958820672629.465,13847249405.403,0.9058
69.2586,25549653468803.016,10321279658.4757,0.9298
70.1095,25354758197070.953,8641724131.6624,0.9412
71.0613,25136768424344.54,6763149268.1257,0.954
71.2407,25095678399695.926,6409066425.6381,0.9564
72.1622,24884622740145.68,4590380424.6178,0.9688
73.7771,24514763611599.062,1403037230.1931,0.9905
74.4879,24351955307262.57,0.0,1.0
