Stage,Alpha,Scenario,Time_Mean,Cost_Mean
1,1.0,Baseline,19.0,6105000000000.0
1,1.0,R1_Elevator,19.385,6122325000000.0
1,1.0,R2_Maint,19.0,6105000000000.0
1,1.0,R3_Rocket,19.0,6105000000000.0
1,1.0,R4_Fuel,19.0,6105000000000.0
1,1.0,All_Risks,19.35,6120750000000.0
1,0.8341708542713567,Baseline,16.0,6814346733668.343
1,0.8341708542713567,R1_Elevator,16.31,6828296733668.343
1,0.8341708542713567,R2_Maint,16.0,6814346733668.343
1,0.8341708542713567,R3_Rocket,16.0,6816237767786.3
1,0.8341708542713567,R4_Fuel,16.0,6814346733668.343
1,0.8341708542713567,All_Risks,16.275,6828612767786.3
1,0.663316582914573,Baseline,13.0,7549279731993.298
1,0.663316582914573,R1_Elevator,13.03,7550629731993.298
1,0.663316582914573,R2_Maint,13.0,7549279731993.298
1,0.663316582914573,R3_Rocket,13.0,7553119104293.395
1,0.663316582914573,R4_Fuel,13.0,7549279731993.298
1,0.663316582914573,All_Risks,13.03,7554469104293.395
1,0.4974874371859297,Baseline,10.0,8258626465661.643
1,0.4974874371859297,R1_Elevator,10.015,8259301465661.643
1,0.4974874371859297,R2_Maint,10.0,8258626465661.643
1,0.4974874371859297,R3_Rocket,10.0,8264356872079.697
1,0.4974874371859297,R4_Fuel,10.0,8258626465661.643
1,0.4974874371859297,All_Risks,10.025,8265481872079.697
1,0.3266331658291457,Baseline,7.0,8993559463986.596
1,0.3266331658291457,R1_Elevator,7.005,8993784463986.596
1,0.3266331658291457,R2_Maint,7.0,8993559463986.596
1,0.3266331658291457,R3_Rocket,7.0,9001238208586.795
1,0.3266331658291457,R4_Fuel,7.0,8993559463986.596
1,0.3266331658291457,All_Risks,7.0,9001238208586.795
2,1.0,Baseline,75.0,24375000000000.0
2,1.0,R1_Elevator,75.53,24398850000000.0
2,1.0,R2_Maint,75.0,24375000000000.0
2,1.0,R3_Rocket,75.0,24375000000000.0
2,1.0,R4_Fuel,75.0,24375000000000.0
2,1.0,All_Risks,76.035,24421575000000.0
2,0.8341708542713567,Baseline,63.0,27212386934673.37
2,0.8341708542713567,R1_Elevator,63.46,27233086934673.37
2,0.8341708542713567,R2_Maint,63.0,27212386934673.37
2,0.8341708542713567,R3_Rocket,63.0,27219951071145.2
2,0.8341708542713567,R4_Fuel,63.0,27212386934673.37
2,0.8341708542713567,All_Risks,63.395,27237726071145.2
2,0.663316582914573,Baseline,50.0,30107118927973.19
2,0.663316582914573,R1_Elevator,50.305,30120843927973.19
2,0.663316582914573,R2_Maint,50.0,30107118927973.19
2,0.663316582914573,R3_Rocket,50.0,30122476417173.58
2,0.663316582914573,R4_Fuel,50.0,30107118927973.19
2,0.663316582914573,All_Risks,50.69,30153526417173.58
2,0.4974874371859297,Baseline,38.0,32944505862646.56
2,0.4974874371859297,R1_Elevator,38.225,32954630862646.56
2,0.4974874371859297,R2_Maint,38.0,32944505862646.56
2,0.4974874371859297,R3_Rocket,38.0,32967427488318.79
2,0.4974874371859297,R4_Fuel,38.0,32944505862646.56
2,0.4974874371859297,All_Risks,38.23,32977777488318.79
2,0.3266331658291457,Baseline,25.0,35839237855946.38
2,0.3266331658291457,R1_Elevator,25.07,35842387855946.38
2,0.3266331658291457,R2_Maint,25.0,35839237855946.38
2,0.3266331658291457,R3_Rocket,26.0,35914952834347.18
2,0.3266331658291457,R4_Fuel,25.74,35872537855946.38
2,0.3266331658291457,All_Risks,27.0,35959952834347.18
3,1.0,Baseline,94.0,30480000000000.0
3,1.0,R1_Elevator,94.64,30508800000000.0
3,1.0,R2_Maint,94.0,30480000000000.0
3,1.0,R3_Rocket,94.0,30480000000000.0
3,1.0,R4_Fuel,94.0,30480000000000.0
3,1.0,All_Risks,94.705,30511725000000.0
3,0.8341708542713568,Baseline,78.0,33981733668341.7
3,0.8341708542713568,R1_Elevator,78.935,34023808668341.7
3,0.8341708542713568,R2_Maint,78.01,33982183668341.7
3,0.8341708542713568,R3_Rocket,78.0,33991188838931.496
3,0.8341708542713568,R4_Fuel,78.0,33981733668341.7
3,0.8341708542713568,All_Risks,79.025,34037313838931.496
3,0.6633165829145728,Baseline,62.0,37611398659966.5
3,0.6633165829145728,R1_Elevator,62.78,37646498659966.5
3,0.6633165829145728,R2_Maint,62.085,37615223659966.5
3,0.6633165829145728,R3_Rocket,62.0,37630595521466.99
3,0.6633165829145728,R4_Fuel,62.0,37611398659966.5
3,0.6633165829145728,All_Risks,62.895,37670870521466.99
3,0.4974874371859296,Baseline,47.0,41158132328308.2
3,0.4974874371859296,R1_Elevator,47.225,41168257328308.2
3,0.4974874371859296,R2_Maint,47.0,41158132328308.2
3,0.4974874371859296,R3_Rocket,47.0,41186784360398.49
3,0.4974874371859296,R4_Fuel,47.0,41158132328308.2
3,0.4974874371859296,All_Risks,47.295,41200059360398.49
3,0.3266331658291457,Baseline,31.0,44787797319933.0
3,0.3266331658291457,R1_Elevator,31.155,44794772319933.0
3,0.3266331658291457,R2_Maint,31.0,44787797319933.0
3,0.3266331658291457,R3_Rocket,33.0,44916191042933.98
3,0.3266331658291457,R4_Fuel,32.0,44832797319933.0
3,0.3266331658291457,All_Risks,33.56,44941391042933.98
