Stage,Alpha,Time_Mean,Cost_Mean,Time_Std,Cost_Std
1,0.0,10.027,10804285175438.592,0.16208331191088118,7293749035.989626
1,0.02,10.0,10701008771929.82,0.0,0.0013852049395700894
1,0.04,10.0,10598947368421.049,0.0,0.0014445204755547342
1,0.06,10.0,10496885964912.275,0.0,0.0016630260122975
1,0.08,9.615,10377499561403.5,0.4865953144040745,21896789148.183365
1,0.1,9.025,10248888157894.729,0.15612494995995993,7025622748.198353
1,0.12,9.0,10145701754385.951,0.0,0.002850492093618442
1,0.14,9.0,10043640350877.184,0.0,0.0033511891546136275
1,0.16,9.0,9941578947368.408,0.0,0.0016835439015242147
1,0.18,8.722,9827007543859.64,0.4480133926569606,20160602669.563442
1,0.2,8.02,9693356140350.871,0.13999999999999999,6299999999.999999
1,0.22,8.0,9590394736842.096,0.0,0.001130452822538108
1,0.24,8.0,9488333333333.326,0.0,0.001949214835917914
1,0.26,8.002,9386361929824.557,0.044676615807377355,2010447711.3319254
1,0.28,7.824,9276290526315.781,0.44612105980327804,20075447691.147728
1,0.3,7.264,9149029122807.014,0.5712302512997715,25705361308.489586
1,0.32,7.449,9055292719298.236,0.6923864527848592,31157390375.318623
1,0.34,7.921,8974471315789.469,0.9585191703873219,43133362667.42931
1,0.36,8.392,8893604912280.7,1.044191553308108,46988619898.86477
1,0.38,8.974,8817733508771.924,1.162464623117624,52310908040.29296
1,0.4,9.575,8742717105263.156,1.2579248785201762,56606619533.40808
1,0.42,10.069,8662885701754.387,1.4429965349923748,64934844074.65716
1,0.44,10.615,8585394298245.611,1.5364813698838005,69141661644.7713
1,0.46,11.328,8515417894736.844,1.9334983837593454,87007427269.1716
1,0.48,11.767,8433111491228.069,1.923203317384826,86544149282.31831
1,0.5,12.482,8363225087719.298,2.121715343772581,95477190469.7681
1,0.52,13.061,8287218684210.532,2.5181896274903526,113318533237.06813
1,0.54,13.809,8218817280701.756,2.6035589104147423,117160150968.66586
1,0.56,14.361,8141595877192.986,2.800835411087199,126037593498.92673
1,0.58,14.892,8063429473684.216,2.8733840676108717,129302283042.49225
1,0.6,15.806,8002498070175.442,3.2900401213359083,148051805460.11908
1,0.62,16.582,7935356666666.674,3.54870060726458,159691527326.91077
1,0.64,17.171,7859800263157.899,3.9168557543008906,176258508943.54532
1,0.66,17.917,7791308859649.128,4.812287501802028,216552937581.09515
1,0.68,18.802,7729072456140.355,4.7430787469743745,213438543613.8504
1,0.7000000000000001,20.069,7683180586811.393,9.841251902070184,427600371909.8792
1,0.72,20.936,7620310231783.844,10.627789233890555,467075151919.9908
1,0.74,21.54,7545417248597.098,11.025352602071282,485294700334.77625
1,0.76,22.804,7499545077646.03,13.007674042656513,567021366250.999
1,0.78,23.901,7447771212536.86,11.271787746404739,500283080273.41425
1,0.8,25.381,7412313804801.423,15.114094051579805,675023213833.253
1,0.8200000000000001,27.128,7387431442559.952,17.89384296343298,787302816136.7053
1,0.84,28.481,7343981289778.0,21.994036441726653,958076188955.4607
1,0.86,30.216,7320961195537.648,22.106545275098956,971038454868.8022
1,0.88,32.278,7308524361588.861,25.55094354422161,1108939178990.6526
1,0.9,34.883,7322759208123.793,28.693750382269656,1250151345943.4526
1,0.92,35.157,7230508519078.056,29.29956230048497,1265340755108.2898
1,0.9400000000000001,38.497,7273189430013.154,33.176075581659745,1420088261772.7478
1,0.96,41.516,7300717814175.098,38.2440288672624,1634134447431.1477
1,0.98,42.354,7232820232644.398,37.48232495457025,1584030237699.3503
1,1.0,45.24,7255514974390.654,40.95808100973482,1732861661328.8555
2,0.0,39.932,43209220701754.37,0.25174590364095306,11328565663.842743
2,0.02,39.001,42759080087719.25,0.03160696125855822,1422313256.6356351
2,0.04,38.029,42307094473684.125,0.16780643611018023,7551289624.958383
2,0.06,37.221,41862488859649.016,0.41492047430802936,18671421343.86232
2,0.08,36.768,41433858245613.92,0.4221089906647334,18994904579.91369
2,0.1,35.992,40990692631578.8,0.08908422980528036,4008790341.2379684
2,0.12,35.005,40538032017543.695,0.07053367989832943,3174015595.4249
2,0.14,34.063,40087396403508.58,0.29838062939808935,13427128322.91377
2,0.16,33.447,39651430789473.51,1.3715651643286946,61720432394.79221
2,0.18,33.417,39241835175438.43,3.5402134116462523,159309603524.0834
2,0.2,34.554,38882885811246.46,16.11902863078294,706594176072.6263
2,0.22,35.94,38533779565478.11,20.550678820905162,884915688876.7201
2,0.24,42.388,38406565717558.09,33.46854427667866,1440744892782.5232
2,0.26,52.965,38447246006795.055,46.761926553554225,1979221153932.0764
2,0.28,64.17,38505539330728.41,55.8401387892258,2327554772720.5347
2,0.3,79.576,38712211857691.484,63.48508662670312,2573898282982.084
2,0.32,94.388,38876741709051.586,68.3825084067556,2717608678987.351
2,0.34,119.09,39409671350482.484,72.36045812458626,2826794049994.034
2,0.36,133.695,39459542596089.52,70.21068276978939,2652240081571.119
2,0.38,148.248,39480215047576.34,66.61710362962353,2460361811267.418
2,0.4,158.072,39265132425148.805,62.304998322767005,2238699052053.838
2,0.42,168.607,39026392703166.67,55.65912819116017,1965649866378.4573
2,0.44,176.763,38682020544790.99,49.21338060934242,1781809206303.0693
2,0.46,184.188,38215650588549.74,41.44469394265085,1619814278570.5146
2,0.48,189.694,37690589094298.46,33.66137792782702,1526302431551.0386
2,0.5,193.781,37042538277952.46,26.468000283361043,1510453014636.1934
2,0.52,194.995,36317536040906.96,23.969792969485574,1507065486522.0273
2,0.54,196.619,35603154835292.79,20.02248333748839,1553318704093.2065
2,0.56,198.657,34786627809600.207,11.870861426198184,1594237316923.5515
2,0.58,198.385,34016283264312.85,13.68944027343704,1639935743434.6057
2,0.6,199.036,33165801768275.34,9.985725011234786,1644372814157.2615
2,0.62,199.352,32403146535907.594,7.860794870749396,1649234999371.525
2,0.64,199.361,31668319619045.2,7.870875364278105,1746025635763.8115
2,0.66,199.887,30832039434376.406,3.5715866222170796,1606691436579.536
2,0.68,199.908,29918963975394.777,2.9078404357873557,1772420531398.7437
2,0.7000000000000001,199.665,29018572908205.695,6.189408291589755,1640582553235.1326
2,0.72,199.935,28406694207181.504,2.0544524818062837,1702139400487.555
2,0.74,200.0,27495855876179.254,0.0,1726721559785.4553
2,0.76,199.898,26613784993956.23,3.2239100483729386,1761243977184.9788
2,0.78,200.0,25852950125453.758,0.0,1781072301271.2156
2,0.8,200.0,25002167624545.875,0.0,1696000920383.83
2,0.8200000000000001,200.0,24241233193107.027,0.0,1770173123519.8997
2,0.84,200.0,23383688877679.07,0.0,1712339123628.4421
2,0.86,200.0,22465641390443.68,0.0,1751092676189.7737
2,0.88,199.928,21726287738746.344,2.2757012106161905,1726995604029.3604
2,0.9,200.0,20876507150635.066,0.0,1834542947754.1152
2,0.92,200.0,20019991232866.586,0.0,1780449642879.7612
2,0.9400000000000001,200.0,19238928087488.184,0.0,1729062016647.4514
2,0.96,200.0,18327991090398.19,0.0,1735467989356.4414
2,0.98,200.0,17571109527254.084,0.0,1756122380968.6665
2,1.0,200.0,16706085855865.332,0.0,1718808225951.0989
3,0.0,49.559,53995505877193.25,0.49650679753654936,22342805889.143867
3,0.02,48.651,53444338859649.37,0.47665396253466735,21449428314.05911
3,0.04,47.67,52889886842105.484,0.4702127178203499,21159572301.915356
3,0.06,46.712,52336469824561.586,0.45283109433871704,20377399245.241287
3,0.08,45.751,51782917807017.695,0.43243380996402214,19459521448.38033
3,0.1,44.768,51228375789473.79,0.4221089906647334,18994904579.912636
3,0.12,43.959,50681120360820.875,4.953515822120689,205794980878.5719
3,0.14,43.124,50133781754386.016,4.7754187250962605,214893842629.33865
3,0.16,43.642,49643895008720.914,14.554787391095758,624401395129.9813
3,0.18,45.802,49226251891069.1,23.064145247548197,989721108034.902
3,0.2,51.504,48957954247398.42,35.72696438266201,1518301124048.8909
3,0.22,67.596,49111375493802.34,54.648575315373044,2267137964738.949
3,0.24,84.104,49272082678883.64,63.54813281285296,2592469796652.6924
3,0.26,104.369,49507236123434.56,70.2217832228718,2755101524465.375
3,0.28,123.935,49680173477304.2,71.74490068987483,2730754536347.026
3,0.3,142.192,49757511093670.7,68.33326522273029,2538834979516.8823
3,0.32,158.212,49598504439594.914,62.544408670959555,2235823879255.0435
3,0.34,173.489,49408988357791.3,52.11174415618806,1887196522138.943
3,0.36,179.589,48832398443923.74,46.79382522299283,1742996407231.6707
3,0.38,188.184,48114709352538.01,35.8798292080662,1503830212595.4885
3,0.4,192.498,47354990201653.74,28.809442826962137,1511885913545.4478
3,0.42,194.726,46542064119102.09,24.98137153960927,1532386597670.875
3,0.44,198.096,45588526501164.08,14.526829798686293,1583443605624.6733
3,0.46,198.94,44540764158268.33,10.862614786505137,1576698122347.1958
3,0.48,198.527,43540623621388.06,13.083931786737502,1647589884704.2
3,0.5,199.466,42584861757013.17,7.599134424393347,1694339730718.7864
3,0.52,199.832,41597490628259.016,4.196638654923723,1756108777392.4014
3,0.54,199.875,40457284488831.625,3.950870157319777,1697919434235.7842
3,0.56,199.768,39402875585502.01,5.1824874336557745,1640808086359.3423
3,0.58,200.0,38394485137180.07,0.0,1732294878415.9963
